serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
103,Mandal Hansda,14097,IND,0,12th Pass,65,"8,72,228",8 Lacs,0,
104,Mangal Marandi,14098,IND,0,5th Pass,34,"1,71,000",1 Lacs,0,
105,Manoj Kumar Pandey,10234,IND,0,Post Graduate,49,"1,41,43,740",1 Crore,"59,05,032",59 Lacs
106,Manoj Kumar Yadav,10235,INC,0,Graduate,63,"4,41,86,530",4 Crore,"2,49,224",2 Lacs
107,Mantosh Kumar Mandal,12892,Amra Bangalee,0,Post Graduate,72,"46,93,000",46 Lacs,0,
108,Mary Nisha Hansdak,12995,Bahujan Mukti Party,0,12th Pass,35,"6,03,000",6 Lacs,0,
109,Md Mahboob Alam,11666,IND,0,Literate,52,0,0,"45,000",45 Thou
110,Md Mubarak,11355,Janata Congress,0,Literate,45,"2,79,125",2 Lacs,0,
111,Md. Moin Uddin Ahmad,11168,IND,1,Graduate,42,"28,76,762",28 Lacs,"60,000",60 Thou
112,Meenakshi Munda,11967,IND,0,Doctorate,40,"1,34,77,647",1 Crore,"8,51,103",8 Lacs
